unique_number,id_no,url,name_en,short_description_en,date_inscribed,danger_start,danger_end,longitude,latitude,area_hectares,category,category_short,region_name_en,iso_code,states_name_en,udnp_code
234,211,,Minaret and Archaeological Remains of Jam,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.",2002,2002,2016,64.51605556,34.39655556,70,Cultural,C,Asia and the Pacific,af,Afghanistan,afg
230,208,http://thumbs.media.smithsonianmag.com//filer/Bamiyan-cliff-face-cavity-Buddha-631.jpg__800x600_q85_crop.jpg,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.",2003,2003,2016,67.82525,34.84694,158.9265,Cultural,C,Asia and the Pacific,af,Afghanistan,afg
214,193,,Tipasa,"On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.",1982,2002,2006,2.383333333,36.55,52.16,Cultural,C,Arab States,dz,Algeria,dza
1121,958,,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,"Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture.",2000,2003,2009,49.83333333,40.36666667,21.5,Cultural,C,Europe and North America,az,Azerbaijan,aze
900,764,,Belize Barrier Reef Reserve System,"The coastal area of Belize is an outstanding natural system consisting of the largest barrier reef in the northern hemisphere, offshore atolls, several hundred sand cays, mangrove forests, coastal lagoons and estuaries. The system&rsquo;s seven sites illustrate the evolutionary history of reef development and are a significant habitat for threatened species, including marine turtles, manatees and the American marine crocodile.",1996,,,-87.05833333,16.75,96300,Natural,N,Latin America and the Caribbean,bz,Belize,blz
484,420,,City of Potosí,"In the 16th century, this area was regarded as the world&rsquo;s largest industrial complex. The extraction of silver ore relied on a series of hydraulic mills. The site consists of the industrial monuments of the Cerro Rico, where water is provided by an intricate system of aqueducts and artificial lakes; the colonial town with the Casa de la Moneda; the Church of San Lorenzo; several patrician houses; and the barrios mitayos, the areas where the workers lived.",1987,2014,2016,-65.75306,-19.58361,0,Cultural,C,Latin America and the Caribbean,bo,Bolivia (Plurinational State of),bol
408,355,,Iguaçu National Park,"The park shares with Iguaz&uacute; National Park in Argentina one of the world&rsquo;s largest and most impressive waterfalls, extending over some 2,700 m. It is home to many rare and endangered species of flora and fauna, among them the giant otter and the giant anteater. The clouds of spray produced by the waterfall are conducive to the growth of lush vegetation.",1986,1999,2001,-54.43333,-25.68333,170086,Natural,N,Latin America and the Caribbean,br,Brazil,bra
1621,219,,Srebarna Nature Reserve,"The Srebarna Nature Reserve is a freshwater lake adjacent to the Danube and extending over 600 ha. It is the breeding ground of almost 100 species of birds, many of which are rare or endangered. Some 80 other bird species migrate and seek refuge there every winter. Among the most interesting bird species are the Dalmatian pelican, great egret, night heron, purple heron, glossy ibis and white spoonbill.",1983,1992,2004,27.07806,44.11444,638,Natural,N,Europe and North America,bg,Bulgaria,bgr
791,668,,Angkor,"Angkor is one of the most important archaeological sites in South-East Asia. Stretching over some 400 km2, including forested area, Angkor Archaeological Park contains the magnificent remains of the different capitals of the Khmer Empire, from the 9th to the 15th century. They include the famous Temple of Angkor Wat and, at Angkor Thom, the Bayon Temple with its countless sculptural decorations. UNESCO has set up a wide-ranging programme to safeguard this symbolic site and its surroundings.",1992,1992,2004,103.8333333,13.43333333,40100,Cultural,C,Asia and the Pacific,kh,Cambodia,khm
1869,1178,,Humberstone and Santa Laura Saltpeter Works,"Humberstone and Santa Laura works contain over 200 former saltpeter works where workers from Chile, Peru and Bolivia lived in company towns and forged a distinctive communal pampinos culture. That culture is manifest in their rich language, creativity, and solidarity, and, above all, in their pioneering struggle for social justice, which had a profound impact on social history. Situated in the remote Pampas, one of the driest deserts on Earth, thousands of pampinos lived and worked in this hostile environment for over 60 years, from 1880, to process the largest deposit of saltpeter in the world, producing the fertilizer sodium nitrate that was to transform agricultural lands in North and South America, and in Europe, and produce great wealth for Chile. Because of the vulnerability of the structures and the impact of a recent earthquake, the site was also placed on the List of World Heritage in Danger to help mobilize resources for its conservation.",2005,,,-69.79406,-20.20582,573.48,Cultural,C,Latin America and the Caribbean,cl,Chile,chl
