TimeSpan,Value,Category,FileName,Feature,Date
before,24,aero,b-aero.png,Arial Views,
before,37,arch,b-arch.png,Triumphal Arch,
before,14,castle,b-castle.png,Fakhr-al-Din al-Ma'ani Castle,
before,83,column,b-column.png,Colonnades,
before,18,pano,b-pano.png,Panoramic Views,
before,22,sculpture,b-sculpture.png,Sculptures and Details,
before,30,temple,b-temple.png,Temple of Baal,
before,32,theater,b-theater.png,Roman Theatre at Palmyra,
after,37,aero,a-aero.png,Arial Views,
after,54,arch,a-arch.png,Triumphal Arch,
after,20,castle,a-castle.png,Fakhr-al-Din al-Ma'ani Castle,13th century
after,111,column,a-column.png,Colonnades,
after,29,pano,a-pano.png,Panoramic Views,
after,27,sculpture,a-sculpture.png,Sculptures and Details,
after,60,temple,a-temple.png,Temple of Baal,
after,47,theater,a-theater.png,Roman Theatre at Palmyra
after,17,violence,a-violence.png,Violence
