unique_number,id_no,rev_bis,url,index,name_en,name_fr,short_description_en,short_description_fr,justification_en,justification_fr,date_inscribed,secondary_dates,danger_start,danger_end,longitude,latitude,area_hectares,category,category_short,states_name_fr,region_name_en,name_fr,iso_code,states_name_en,,udnp_code
234,211,Rev,,1,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.","<p>Haut de 65m, le minaret de Djam est une construction gracieuse et élancée datant du XIIe siècle. Recouvert d’une décoration complexe en briques et portant une inscription de tuiles bleues au sommet, il est remarquable par la qualité de son architecture et de ses motifs décoratifs, qui représentent l’apogée d’une tradition artistique propre à cette région. Son impact est renforcé par un environnement spectaculaire : une vallée profonde qui s’ouvre entre d’imposantes montagnes au cœur de la province du Ghor.</p>","<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
<p><em>Criterion (iii): </em>The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries.</p>
<p><em>Criterion (iv): </em>The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.</p>","<p><em>Critère (ii)</em> : L'architecture et la décoration innovatrices du Minaret de Djam ont joué un rôle significatif dans le développement des arts et de l'architecture du sous-continent indien et au-delà.</p>
<p><em>Critère (iii)</em> : Le minaret de Djam et ses vestiges archéologiques associés constituent un témoignage exceptionnel de la puissance et de la qualité de la civilisation ghoride qui domina cette région aux XIIe et XIIIe siècles.</p>
<p><em>Critère (iv)</em> : Le minaret de Djam est un exemple exceptionnel de l’architecture et de l’ornementation islamiques dans la région et joua un rôle dans leur diffusion.</p>",2002,,2002,2016,64.51605556,34.39655556,70,Cultural,C,Afghanistan,Asia and the Pacific,Asie et pacifique,af,Afghanistan,,afg
230,208,Rev,http://thumbs.media.smithsonianmag.com//filer/Bamiyan-cliff-face-cavity-Buddha-631.jpg__800x600_q85_crop.jpg,2,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.","<p>Le paysage culturel et les vestiges arch&eacute;ologiques de la vall&eacute;e de Bamiyan illustrent les d&eacute;veloppements artistiques et religieux qui, du Ier au XIIIe si&egrave;cle, ont caract&eacute;ris&eacute; l&rsquo;ancienne Bactriane, int&eacute;grant diverses influences culturelles pour former l&rsquo;&eacute;cole d&rsquo;art bouddhique du Gandhara. Le site contient plusieurs ensembles monastiques et sanctuaires bouddhistes, ainsi que des &eacute;difices fortifi&eacute;s de la p&eacute;riode islamique. Il t&eacute;moigne &eacute;galement de la tragique destruction des deux bouddhas debout par les taliban, qui &eacute;branla le monde en mars 2001.</p>","<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
<p><em>Criterion (ii)</em> : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period.</p>
<p><em>Criterion (iii):</em> The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared.</p>
<p><em>Criterion (iv):</em> The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism.</p>
<p><em>Criterion (vi):</em> The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.</p>","<p><em>Crit&egrave;re (i):</em> Les statues de Bouddha et l&rsquo;art rupestre de la vall&eacute;e de Bamyan sont une repr&eacute;sentation exceptionnelle de l&rsquo;&eacute;cole du Gandhara dans l&rsquo;art bouddhique de la r&eacute;gion d&rsquo;Asie centrale.</p>
<p><em>Crit&egrave;re (ii):</em> Les vestiges artistiques et architecturaux de la vall&eacute;e de Bamyan, important centre bouddhiste sur la Route de la Soie, sont un t&eacute;moignage exceptionnel de l&rsquo;&eacute;change des influences indiennes, hell&eacute;nistiques, romaines et sassanides qui ont servi de fondations &agrave; une expression artistique particuli&egrave;re de l&rsquo;&eacute;cole du Gandhara. &Agrave; cela s&rsquo;ajoute une influence islamique ult&eacute;rieure.</p>
<p><em>Crit&egrave;re (iii):</em> La vall&eacute;e de Bamyan est un t&eacute;moignage exceptionnel d&rsquo;une tradition culturelle d&rsquo;Asie centrale aujourd&rsquo;hui disparue.</p>
<p><em>Crit&egrave;re (iv):</em> La vall&eacute;e de Bamyan est un exemple exceptionnel de paysage culturel illustrant une p&eacute;riode significative du bouddhisme.</p>
<p><em>Crit&egrave;re (vi):</em> La vall&eacute;e de Bamyan est l&rsquo;expression monumentale la plus importante du Bouddhisme occidental. Ce fut un centre de p&egrave;lerinage essentiel sur plusieurs si&egrave;cles. Les monuments, en raison de leurs valeurs symboliques, ont souffert &agrave; diff&eacute;rentes p&eacute;riodes de leur histoire, notamment lors de la destruction d&eacute;lib&eacute;r&eacute;e de 2001, qui secoua le monde entier.</p>",2003,,2003,2016,67.82525,34.84694,158.9265,Cultural,C,Afghanistan,Asia and the Pacific,Asie et pacifique,af,Afghanistan,,afg
214,193,,,3,Tipasa,Tipasa,"On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.","<p>Sur les rives de la M&eacute;diterran&eacute;e, Tipasa, ancien comptoir punique, fut occup&eacute; par Rome, qui en fit une base strat&eacute;gique pour la conqu&ecirc;te des royaumes mauritaniens. Il comprend un ensemble unique de vestiges ph&eacute;niciens, romains, pal&eacute;ochr&eacute;tiens et byzantins, voisinant avec des monuments autochtones, tel le Kbor er Roumia, grand mausol&eacute;e royal de Maur&eacute;tanie.</p>",,,1982,,2002,2006,2.383333333,36.55,52.16,Cultural,C,Algérie,Arab States,États arabes,dz,Algeria,,dza
1121,958,,,4,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Cité fortifiée de Bakou avec le palais des Chahs de Chirvan et la tour de la Vierge,"Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture.","<p>&Eacute;difi&eacute;e sur un site habit&eacute; depuis l'&egrave;re pal&eacute;olithique, la cit&eacute; fortifi&eacute;e de Bakou incarne une remarquable continuit&eacute; culturelle avec des traces de pr&eacute;sence zoroastrienne, sassanide, arabe, perse, shirvani, ottomane et russe. La ville intra-muros (Icheri Sheher) a conserv&eacute; une grande partie de ses remparts du XIIe si&egrave;cle. La Tour de la Vierge (Giz Galasy), dont les structures d&rsquo;origine remontent aux VIIe-VIe si&egrave;cles avant notre &egrave;re, a &eacute;t&eacute; restaur&eacute;e au XIIe si&egrave;cle. Le Palais des Chahs de Chirvan, du XVe si&egrave;cle, est un autre chef-d'&oelig;uvre de l'architecture azerba&iuml;djanaise.</p>","<p><em>Criterion (iv):</em> The Walled City of Baku represents an outstanding and rare example of an historic urban ensemble and architecture with influence from Zoroastrian, Sassanian, Arabic, Persian, Shirvani, Ottoman, and Russian cultures.</p>","<p><em>Crit&egrave;re (iv):</em> La ville fortifi&eacute;e de Bakou est un exemple exceptionnel et rare d&rsquo;ensemble urbain historique et architectural influenc&eacute; par les cultures zoroastrienne, sassanide, arabe, perse, shirvani, ottomane et russe.</p>",2000,,2003,2009,49.83333333,40.36666667,21.5,Cultural,C,Azerbaïdjan,Europe and North America,Europe et Amérique du nord,az,Azerbaijan,,aze
484,420,,,5,City of Potosí,Ville de Potosí,"In the 16th century, this area was regarded as the world&rsquo;s largest industrial complex. The extraction of silver ore relied on a series of hydraulic mills. The site consists of the industrial monuments of the Cerro Rico, where water is provided by an intricate system of aqueducts and artificial lakes; the colonial town with the Casa de la Moneda; the Church of San Lorenzo; several patrician houses; and the barrios mitayos, the areas where the workers lived.","<p>L&rsquo;endroit &eacute;tait consid&eacute;r&eacute; au XVIe si&egrave;cle comme le plus grand complexe industriel du monde. L&rsquo;extraction du minerai d&rsquo;argent &eacute;tait assur&eacute;e par une s&eacute;rie de moulins &agrave; eau. L&rsquo;ensemble actuel comprend les monuments industriels du Cerro Rico, o&ugrave; l&rsquo;eau est amen&eacute;e par un syst&egrave;me compliqu&eacute; d&rsquo;aqueducs et de lacs artificiels, la ville coloniale avec la Casa de la Moneda, l&rsquo;&eacute;glise de San Lorenzo, des demeures nobles et les &laquo; barrios mitayos &raquo; qui &eacute;taient les quartiers ouvriers.</p>",,,1987,,2014,2016,-65.75306,-19.58361,0,Cultural,C,Bolivie (État plurinational de),Latin America and the Caribbean,Amérique latine et Caraïbes,bo,Bolivia (Plurinational State of),,bol
408,355,,,6,Iguaçu National Park,Parc national d'Iguaçu,"The park shares with Iguaz&uacute; National Park in Argentina one of the world&rsquo;s largest and most impressive waterfalls, extending over some 2,700 m. It is home to many rare and endangered species of flora and fauna, among them the giant otter and the giant anteater. The clouds of spray produced by the waterfall are conducive to the growth of lush vegetation.","<p>Comme son voisin d&rsquo;Argentine, le parc national de l&rsquo;Igua&ccedil;u permet d&rsquo;admirer, sur une longueur de 2 700 m, l&rsquo;une des cataractes les plus grandes et les plus impressionnantes du monde. Il abrite de nombreuses esp&egrave;ces rares et menac&eacute;es de flore et de faune, et notamment la loutre g&eacute;ante et le fourmilier g&eacute;ant. Les nuages d&rsquo;embruns qui se d&eacute;gagent des chutes favorisent la croissance d&rsquo;une v&eacute;g&eacute;tation luxuriante.</p>",,,1986,,1999,2001,-54.43333,-25.68333,170086,Natural,N,Brésil,Latin America and the Caribbean,Amérique latine et Caraïbes,br,Brazil,,bra
1621,219,Bis,,7,Srebarna Nature Reserve,Réserve naturelle de Srébarna,"The Srebarna Nature Reserve is a freshwater lake adjacent to the Danube and extending over 600 ha. It is the breeding ground of almost 100 species of birds, many of which are rare or endangered. Some 80 other bird species migrate and seek refuge there every winter. Among the most interesting bird species are the Dalmatian pelican, great egret, night heron, purple heron, glossy ibis and white spoonbill.","<p>La r&eacute;serve naturelle de Sr&eacute;barna est un lac d&rsquo;eau douce adjacent au Danube qui s&rsquo;&eacute;tend sur plus de 600 ha. Il abrite pr&egrave;s de 100 esp&egrave;ces d&rsquo;oiseaux qui viennent s&rsquo;y reproduire et dont beaucoup sont rares ou menac&eacute;es. Quelque 80 autres esp&egrave;ces d&rsquo;oiseaux s&rsquo;y r&eacute;fugient au cours de leur migration chaque hiver. Parmi les esp&egrave;ces d&rsquo;oiseaux les plus int&eacute;ressantes, on note le p&eacute;lican dalmate, le bihoreau gris, l&rsquo;ibis falcinelle et la spatule blanche.</p>",,,1983,,1992,2004,27.07806,44.11444,638,Natural,N,Bulgarie,Europe and North America,Europe et Amérique du nord,bg,Bulgaria,,bgr
791,668,,,8,Angkor,Angkor,"Angkor is one of the most important archaeological sites in South-East Asia. Stretching over some 400 km2, including forested area, Angkor Archaeological Park contains the magnificent remains of the different capitals of the Khmer Empire, from the 9th to the 15th century. They include the famous Temple of Angkor Wat and, at Angkor Thom, the Bayon Temple with its countless sculptural decorations. UNESCO has set up a wide-ranging programme to safeguard this symbolic site and its surroundings.","<p>Angkor est l’un des principaux sites archéologiques de l’Asie du Sud-Est. S’étendant sur quelque 400 km2 couverts en partie par la forêt, le parc archéologique d’Angkor recèle les admirables vestiges des différentes capitales de l’Empire khmer qui rayonna entre le IXe et le XVe siècle : le célèbre temple d’Angkor Vat et, à Angkor Thom, le temple du Bayon orné d’innombrables sculptures. L’UNESCO a mis en œuvre un vaste programme de sauvegarde de ce site symbole et de son environnement.</p>",,,1992,,1992,2004,103.8333333,13.43333333,40100,Cultural,C,Cambodge,Asia and the Pacific,Asie et pacifique,kh,Cambodia,,khm
553,475,,,9,Manovo-Gounda St Floris National Park,Parc national du Manovo-Gounda St Floris,"The importance of this park derives from its wealth of flora and fauna. Its vast savannahs are home to a wide variety of species: black rhinoceroses, elephants, cheetahs, leopards, wild dogs, red-fronted gazelles and buffalo, while various types of waterfowl are to be found in the northern floodplains.","<p>L'importance de ce parc tient &agrave; la richesse de sa flore et de sa faune. Ses vastes savanes abritent des esp&egrave;ces de mammif&egrave;res tr&egrave;s vari&eacute;es : rhinoc&eacute;ros noirs, &eacute;l&eacute;phants, gu&eacute;pards, l&eacute;opards, chiens sauvages, gazelles &agrave; front roux, buffles, et diff&eacute;rents types d'oiseaux aquatiques qui trouvent un habitat dans les plaines d'inondation du Nord.</p>",,,1988,,1997,2016,21.5,9,1740000,Natural,N,République centrafricaine,Africa,Afrique,cf,Central African Republic,,caf
173,155,-257,,10,Mount Nimba Strict Nature Reserve,Réserve naturelle intégrale du mont Nimba,"Located on the borders of Guinea, Liberia and C&ocirc;te d&rsquo;Ivoire, Mount Nimba rises above the surrounding savannah. Its slopes are covered by dense forest at the foot of grassy mountain pastures. They harbour an especially rich flora and fauna, with endemic species such as the viviparous toad and chimpanzees that use stones as tools.","<p>Situ&eacute; aux confins de la Guin&eacute;e, du Liberia et de la C&ocirc;te d&rsquo;Ivoire, le mont Nimba domine les savanes environnantes. Ses pentes, couvertes d&rsquo;une for&ecirc;t dense au pied d&rsquo;alpages de gramin&eacute;es, rec&egrave;lent une flore et une faune particuli&egrave;rement riches, avec des esp&egrave;ces end&eacute;miques comme le crapaud vivipare ou les chimpanz&eacute;s qui se servent de pierres comme d&rsquo;outils.</p>",,,1981,1982,1992,2016,-8.39097,7.60318,18000,Natural,N,"Côte d'Ivoire,Guinée",Africa,Afrique,ci,Côte d'Ivoire,,civ
