id_name,id_number
afg,1
alb,2
dza,3
and,4
arg,5
arm,6
aus,7
aut,8
aze,9
bhr,10
bgd,11
brb,12
blr,13
bel,14
blz,15
ben,16
bol,17
bih,18
bwa,19
bra,20
bgr,21
bfa,22
cpv,23
khm,24
cmr,25
can,26
caf,27
tcd,28
chl,29
chn,30
col,31
cg,32
cri,33
civ,34
hrv,35
cub,36
cyp,37
cze,38
prk,39
cod,40
dnk,41
dma,42
dom,43
ecu,44
egy,45
slv,46
est,47
ee,48
eth,49
fji,50
fin,51
fra,52
gab,53
gmb,54
geo,55
deu,56
gha,57
grc,58
gtm,59
hti,60
vat,61
hnd,62
hun,63
isl,64
ind,65
idn,66
irn,67
irq,68
irl,69
isr,70
ita,71
jam,72
jpn,73
jor,74
kaz,75
ken,76
kir,77
kgz,78
lao,79
lva,80
lbn,81
lso,82
lby,83
ltu,84
lux,85
mdg,86
mwi,87
mys,88
mli,89
mlt,90
mhl,91
mrt,92
mus,93
mex,94
mng,95
mne,96
mar,97
moz,98
mmr,99
nam,100
npl,101
nld,102
nzl,103
nic,104
ner,105
nga,106
nor,107
omn,108
pak,109
plw,110
pal,111
pan,112
png,113
pry,114
per,115
phl,116
pol,117
prt,118
qat,119
kor,120
rou,121
rus,122
kna,123
lca,124
smr,125
sau,126
sen,127
srb,128
syc,129
sgp,130
svk,131
slb,132
zaf,133
esp,134
lka,135
sdn,136
sur,137
swe,138
che,139
syr,140
tjk,141
tha,142
mkd,143
tgo,144
tun,145
tur,146
tkm,147
uga,148
ukr,149
are,150
gbr,151
tza,152
usa,153
ury,154
uzb,155
vut,156
ven,157
vnm,158
yem,159
zmb,160
zwe,161
