rgl_link,rgl_link/_text,rgl_link/_title,rgl_link_numbers,rgi_image,rgi_image/_alt,ilmn_value,ilmn_value_numbers,meta_description,meta_description_dates
"/imgres?imgurl=http://ichef-1.bbci.co.uk/news/660/cpsprodpb/FFBA/production/_83766456_83766455.jpg&imgrefurl=http://www.bbc.com/news/world-middle-east-33216305&h=371&w=660&tbnid=4sDtV-V8xJ0vdM:&docid=VXat--RkTn5TlM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","660 × 371 - bbc.com","","660; 371","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRSx9PHWz2EQPOmQ0NBX-eUeryei__QpkEESlPl5dvLpARTxskA","Image result for palmyra","660 × 371 - bbc.com","660; 371","{""id"":""4sDtV-V8xJ0vdM:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":371,""ou"":""http://ichef-1.bbci.co.uk/news/660/cpsprodpb/FFBA/production/_83766456_83766455.jpg"",""ow"":660,""pt"":""Islamic State crisis: \u0026#39;Mines planted in Syria\u0026#39;s Palmyra\u0026#39; - BBC News"",""rid"":""VXat--RkTn5TlM"",""ru"":""http://www.bbc.com/news/world-middle-east-33216305"",""s"":""Image caption Earlier this month images surfaced online purporting to show the IS flag flying over Palmyra"",""th"":168,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcRSx9PHWz2EQPOmQ0NBX-eUeryei__QpkEESlPl5dvLpARTxskA"",""tw"":300}",""
"/imgres?imgurl=http://whc.unesco.org/uploads/thumbs/site_0023_0058-750-0-20151104161901.jpg&imgrefurl=http://whc.unesco.org/en/list/23&h=498&w=750&tbnid=DIRSzGJCsxyOFM:&docid=Kg40a8_z0UYB0M&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","750 × 498 - whc.unesco.org","","750; 498","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTSCNgwB8N57MnDXyP5f26d0XlkZUQULNshsWGTCV22Sd51UuHaWw","Image result for palmyra","750 × 498 - whc.unesco.org","750; 498","{""cl"":3,""id"":""DIRSzGJCsxyOFM:"",""isu"":""whc.unesco.org"",""ity"":""jpg"",""oh"":498,""ou"":""http://whc.unesco.org/uploads/thumbs/site_0023_0058-750-0-20151104161901.jpg"",""ow"":750,""pt"":""Site of Palmyra - UNESCO World Heritage Centre"",""rid"":""Kg40a8_z0UYB0M"",""ru"":""http://whc.unesco.org/en/list/23"",""s"":""Site of Palmyra (Syrian Arab Republic) © Silvan Rehfeld"",""th"":183,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcTSCNgwB8N57MnDXyP5f26d0XlkZUQULNshsWGTCV22Sd51UuHaWw"",""tw"":276}",""
"/imgres?imgurl=http://www.nybooks.com/wp-content/uploads/2015/05/Palmyra-triumphal-arch.jpg&imgrefurl=http://www.nybooks.com/daily/2015/05/25/palmyra-isis-arab-tragedy/&h=624&w=940&tbnid=qUhGEdEyMsYNrM:&docid=12xuJ5aynjywxM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","940 × 624 - nybooks.com","","940; 624","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRVTrTUyFXh46CMRh346Ak4ndGQF3-A79Lpbb7LP4Kz89JLjBuIXA","Image result for palmyra","940 × 624 - nybooks.com","940; 624","{""ct"":3,""id"":""qUhGEdEyMsYNrM:"",""isu"":""nybooks.com"",""ity"":""jpg"",""oh"":624,""ou"":""http://www.nybooks.com/wp-content/uploads/2015/05/Palmyra-triumphal-arch.jpg"",""ow"":940,""pt"":""The Venice of the Sands in Peril by G.W. Bowersock | NYR Daily ..."",""rid"":""12xuJ5aynjywxM"",""ru"":""http://www.nybooks.com/daily/2015/05/25/palmyra-isis-arab-tragedy/"",""s"":""Palmyra triumphal arch.jpg"",""th"":183,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcRVTrTUyFXh46CMRh346Ak4ndGQF3-A79Lpbb7LP4Kz89JLjBuIXA"",""tw"":276}","1432512000000"
"/imgres?imgurl=http://s1.ibtimes.com/sites/www.ibtimes.com/files/styles/v2_article_large/public/2015/05/16/palmyra.jpg&imgrefurl=http://www.ibtimes.com/isis-seizes-palmyra-launches-prison-break-ancient-syrian-unesco-site-islamic-state-1932194&h=495&w=740&tbnid=ku38zEymYDhDvM:&docid=qBPfN5VaKvnJhM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","740 × 495 - ibtimes.com","","740; 495","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTB5jmpMF4Ws2BJjeA0wJUluOXs-msW2tyixKHsFjWtjJ3kp9hf","Image result for palmyra","740 × 495 - ibtimes.com","740; 495","{""cb"":12,""ct"":9,""id"":""ku38zEymYDhDvM:"",""isu"":""ibtimes.com"",""ity"":""jpg"",""oh"":495,""ou"":""http://s1.ibtimes.com/sites/www.ibtimes.com/files/styles/v2_article_large/public/2015/05/16/palmyra.jpg"",""ow"":740,""pt"":""ISIS Seizes Palmyra, Launches Prison Break At Ancient Syrian ..."",""rid"":""qBPfN5VaKvnJhM"",""ru"":""http://www.ibtimes.com/isis-seizes-palmyra-launches-prison-break-ancient-syrian-unesco-site-islamic-state-1932194"",""s"":""ISIS Seizes Palmyra, Launches Prison Break At Ancient Syrian UNESCO Site; Islamic State Group Took Control Of Key City Of Ramadi Days Ago"",""th"":184,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcTB5jmpMF4Ws2BJjeA0wJUluOXs-msW2tyixKHsFjWtjJ3kp9hf"",""tw"":275}","1431734400000"
"/imgres?imgurl=http://www.aljazeera.com/mritems/Images/2015/7/3/11fde91abd394612b927e363b49d4d59_18.jpg&imgrefurl=http://www.aljazeera.com/news/2015/08/isil-blows-part-bel-temple-syria-palmyra-150830195420900.html&h=562&w=999&tbnid=UzPq6DzczPtI_M:&docid=YbweXCaDc-kriM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","999 × 562 - aljazeera.com","","999; 562","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ-feZFlsEauIq-ggpWGxn2-Z4pIRbveznHfT_wyHyAV5uOKYILaw","Image result for palmyra","999 × 562 - aljazeera.com","999; 562","{""cr"":15,""id"":""UzPq6DzczPtI_M:"",""isu"":""aljazeera.com"",""ity"":""jpg"",""oh"":562,""ou"":""http://www.aljazeera.com/mritems/Images/2015/7/3/11fde91abd394612b927e363b49d4d59_18.jpg"",""ow"":999,""pt"":""ISIL blows up part of main temple in Syria\u0026#39;s Palmyra - Al Jazeera ..."",""rid"":""YbweXCaDc-kriM"",""ru"":""http://www.aljazeera.com/news/2015/08/isil-blows-part-bel-temple-syria-palmyra-150830195420900.html"",""s"":""ISIL has released video of their fighters destroying artefacts in Iraq and Syria"",""th"":168,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcQ-feZFlsEauIq-ggpWGxn2-Z4pIRbveznHfT_wyHyAV5uOKYILaw"",""tw"":299}","1435881600000"
"/imgres?imgurl=https://upload.wikimedia.org/wikipedia/commons/a/a8/Bassel-bel-3.jpg&imgrefurl=https://en.wikipedia.org/wiki/Palmyra&h=742&w=990&tbnid=jhvec7pjCk_hRM:&docid=CZHBD4_Xve_7pM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","990 × 742 - en.wikipedia.org","","990; 742","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS7eNJGuN5cq4TDaaVRULdnHN47zETTGWBLD-NIYXQt71L-xaPn","Image result for palmyra","990 × 742 - en.wikipedia.org","990; 742","{""cb"":6,""cr"":3,""ct"":6,""id"":""jhvec7pjCk_hRM:"",""isu"":""en.wikipedia.org"",""ity"":""jpg"",""oh"":742,""ou"":""https://upload.wikimedia.org/wikipedia/commons/a/a8/Bassel-bel-3.jpg"",""ow"":990,""pt"":""Palmyra - Wikipedia, the free encyclopedia"",""rid"":""CZHBD4_Xve_7pM"",""ru"":""https://en.wikipedia.org/wiki/Palmyra"",""s"":"""",""th"":194,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcS7eNJGuN5cq4TDaaVRULdnHN47zETTGWBLD-NIYXQt71L-xaPn"",""tw"":259}",""
"/imgres?imgurl=http://static01.nyt.com/images/2015/10/06/world/06PALMYRA-SUB/06PALMYRA-SUB-master675.jpg&imgrefurl=http://www.nytimes.com/2015/10/06/world/middleeast/isis-syria-arch-triumph-palmyra.html&h=450&w=675&tbnid=mHkBGQSc_vhiBM:&docid=wgMkrEkkpQ0LhM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","675 × 450 - nytimes.com","","675; 450","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSHwYnv-L00wOpBTaB0jveUCsP9CVYSyuIlm8xocGyTMSY6NfO4PA","Image result for palmyra","675 × 450 - nytimes.com","675; 450","{""ct"":9,""id"":""mHkBGQSc_vhiBM:"",""isu"":""nytimes.com"",""ity"":""jpg"",""oh"":450,""ou"":""http://static01.nyt.com/images/2015/10/06/world/06PALMYRA-SUB/06PALMYRA-SUB-master675.jpg"",""ow"":675,""pt"":""ISIS Destroys Triumphal Arches in Palmyra, Syria - The New York Times"",""rid"":""wgMkrEkkpQ0LhM"",""ru"":""http://www.nytimes.com/2015/10/06/world/middleeast/isis-syria-arch-triumph-palmyra.html"",""s"":""The triple arch in Palmyra was built by Romans in the second century to celebrate a victory over Persians. Credit Joseph Eid/Agence France-Presse \u2014 Getty ..."",""th"":183,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcSHwYnv-L00wOpBTaB0jveUCsP9CVYSyuIlm8xocGyTMSY6NfO4PA"",""tw"":275}","1444089600000; 1444089600000"
"/imgres?imgurl=https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Palmyra_03.jpg/290px-Palmyra_03.jpg&imgrefurl=https://en.wikipedia.org/wiki/Palmyra&h=196&w=290&tbnid=83hFxlNrnhl6zM:&docid=CZHBD4_Xve_7pM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","290 × 196 - en.wikipedia.org","","290; 196","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ1jYSagWpvxTo0HGiQXWsrBaVk-VG5TXAMdEXwENKEUBxsY95Z","Image result for palmyra","290 × 196 - en.wikipedia.org","290; 196","{""ct"":15,""id"":""83hFxlNrnhl6zM:"",""isu"":""en.wikipedia.org"",""ity"":""jpg"",""oh"":196,""ou"":""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Palmyra_03.jpg/290px-Palmyra_03.jpg"",""ow"":290,""pt"":""Palmyra - Wikipedia, the free encyclopedia"",""rid"":""CZHBD4_Xve_7pM"",""ru"":""https://en.wikipedia.org/wiki/Palmyra"",""s"":""Ruins of Palmyra"",""th"":156,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcQ1jYSagWpvxTo0HGiQXWsrBaVk-VG5TXAMdEXwENKEUBxsY95Z"",""tw"":232}",""
"/imgres?imgurl=http://i.telegraph.co.uk/multimedia/archive/03303/Palmyra_3303917n.jpg&imgrefurl=http://www.telegraph.co.uk/news/worldnews/islamic-state/11611500/We-must-save-Palmyra-or-the-maniacs-will-raze-civilisation.html&h=337&w=540&tbnid=_FtTp1ZlmkFi2M:&docid=o2CgbjdpSEF9JM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","540 × 337 - telegraph.co.uk","","540; 337","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR70uie7qpfShz38p5odwKe8R3N3QCCFZ1WH7jK30JJIDVUBF-9HA","Image result for palmyra","540 × 337 - telegraph.co.uk","540; 337","{""id"":""_FtTp1ZlmkFi2M:"",""isu"":""telegraph.co.uk"",""ity"":""jpg"",""oh"":337,""ou"":""http://i.telegraph.co.uk/multimedia/archive/03303/Palmyra_3303917n.jpg"",""ow"":540,""pt"":""Boris Johnson: Save Palmyra or the Islamic State maniacs will raze ..."",""rid"":""o2CgbjdpSEF9JM"",""ru"":""http://www.telegraph.co.uk/news/worldnews/islamic-state/11611500/We-must-save-Palmyra-or-the-maniacs-will-raze-civilisation.html"",""s"":""Palmyra lies 215 kilometres northeast of Damascus (AP)"",""th"":177,""tu"":""https://encrypted-tbn3.gstatic.com/images?q\u003dtbn:ANd9GcR70uie7qpfShz38p5odwKe8R3N3QCCFZ1WH7jK30JJIDVUBF-9HA"",""tw"":284}",""
"/imgres?imgurl=https://d.ibtimes.co.uk/en/full/1439704/palmyra-isis-syria.jpg&imgrefurl=http://www.ibtimes.co.uk/palmyra-isis-enters-archaeological-site-more-50-syria-now-controlled-by-jihadists-1502296&h=787&w=1180&tbnid=G6cLqOEa7XUdYM:&docid=xG6qaCG7P-lxVM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","1180 × 787 - ibtimes.co.uk","","1180; 787","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTIn6vmd7PzNbFlZvLnXh8fetKeNG67flsEs8Atu_hRthW1BuleJA","Image result for palmyra","1180 × 787 - ibtimes.co.uk","1180; 787","{""id"":""G6cLqOEa7XUdYM:"",""isu"":""ibtimes.co.uk"",""ity"":""jpg"",""oh"":787,""ou"":""https://d.ibtimes.co.uk/en/full/1439704/palmyra-isis-syria.jpg"",""ow"":1180,""pt"":""Palmyra: Isis captures archaeological treasure as 50% of Syria now ..."",""rid"":""xG6qaCG7P-lxVM"",""ru"":""http://www.ibtimes.co.uk/palmyra-isis-enters-archaeological-site-more-50-syria-now-controlled-by-jihadists-1502296"",""s"":""Palmyra: Isis captures archaeological treasure as 50% of Syria now controlled by jihadists"",""th"":183,""tu"":""https://encrypted-tbn3.gstatic.com/images?q\u003dtbn:ANd9GcTIn6vmd7PzNbFlZvLnXh8fetKeNG67flsEs8Atu_hRthW1BuleJA"",""tw"":275}",""
