country,total
Italy,52
China,48
Spain,44
France,43
Germany,42
Mexico,33
India,32
United Kingdom of Great Britain and Northern Ireland,29
Russian Federation,27
United States of America,25
Brazil,19
Iran (Islamic Republic of),19
Australia,19
Japan,19
Canada,17
Greece,17
Sweden,16
Portugal,15
Turkey,15
Poland,14
Peru,13
Czech Republic,12
Republic of Korea,12
Switzerland,12
Belgium,11
Argentina,10
Austria,10
Netherlands,10
Bulgaria,9
Ethiopia,9
Colombia,9
Morocco,9
Finland,9
Cuba,9
Israel,9
Sri Lanka,8
Ukraine,8
Hungary,8
Tunisia,8
Denmark,8
Norway,8
Bolivia (Plurinational State of),8
South Africa,8
Viet Nam,8
Indonesia,8
Egypt,7
Algeria,7
Slovakia,7
Senegal,7
Chile,7
Belarus,7
Romania,7
Croatia,7
United Republic of Tanzania,7
Syrian Arab Republic,6
Kenya,6
Ecuador,6
Pakistan,6
Philippines,6
Thailand,5
Lithuania,5
Libya,5
Lebanon,5
Jordan,5
Zimbabwe,5
Panama,5
Costa Rica,5
Democratic Republic of the Congo,5
Iraq,4
Cðte d'Ivoire,4
Mongolia,4
Serbia,4
Slovenia,4
Nepal,4
Kazakhstan,4
Saudi Arabia,4
Malaysia,4
Mali,4
Oman,4
Yemen,4
Uzbekistan,4
Georgia,3
Niger,3
Malta,3
Latvia,3
Kyrgyzstan,3
Turkmenistan,3
Uganda,3
Guatemala,3
New Zealand,3
Gambia,3
Estonia,3
Cyprus,3
Cameroon,3
Venezuela (Bolivarian Republic of),3
Bangladesh,3
Armenia,3
Madagascar,3
Honduras,2
Bosnia and Herzegovina,2
Nicaragua,2
Lao People's Democratic Republic,2
Nigeria,2
Iceland,2
Central African Republic,2
Botswana,2
Democratic People's Republic of Korea,2
Palestine,2
Republic of Moldova,2
Albania,2
Suriname,2
Malawi,2
Ireland,2
Azerbaijan,2
Uruguay,2
Sudan,2
Bahrain,2
Mauritania,2
Mauritius,2
Ghana,2
Afghanistan,2
Montenegro,2
Cambodia,2
Tajikistan,2
Seychelles,2
Guinea,2
Namibia,2
Holy See,2
United Arab Emirates,1
Solomon Islands,1
San Marino,1
Saint Kitts and Nevis,1
Qatar,1
Paraguay,1
Papua New Guinea,1
Palau,1
Myanmar,1
Mozambique,1
Marshall Islands,1
the Former Yugoslav Republic of Macedonia,1
Togo,1
Luxembourg,1
Kiribati,1
Jerusalem,1
Jamaica,1
Haiti,1
Singapore,1
Gabon,1
Fiji,1
El Salvador,1
Dominica,1
Chad,1
Vanuatu,1
Cabo Verde,1
Burkina Faso,1
Benin,1
Belize,1
Barbados,1
Dominican Republic,1
Lesotho,1
Saint Lucia,1
Zambia,1
Andorra,1
Congo,1
